AP-FNB-BELLBOX,AP,aphafbd5,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,GR158M2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APFNBDIROFF01,AP,aphs1pf1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,B100JL2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-FNB-INVMGR,AP,aphhimg1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G7SKX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APFNBJNRFNB,AP,aphjapuf,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,J0DYCS2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APFNBPRVMSTOFF1,AP,Aphbev1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G6GHX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-FS1,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 2c 26 c3 fe 46 97-03 93 20 3d 13 de 64 b1,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APGALCHEFASOFF1,AP,APHASCHF,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7DJ4X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGALCHEFOFF1,AP,aphchef1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,GR238M2,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGALSCHEFLAP1,AP,aphchef2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,Latitude 7480,D6HHZY2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGALSCHEFOFF1,AP,aphgsup1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G7HGX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGENESIS,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 b7 a8 26 62 31 53-c5 72 86 79 ea ee 77 7c,5/22/2023,Microsoft Windows Server 2016 Standard,10.0.14393
APGSTCCH,AP,APHCCH1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7Q61X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGSTDCMOFF1,AP,aphicmg1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G7PFX53,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGSTGSMOFF1,AP,aphsapa1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G8BDX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGSTHGMCAB1,AP,aphpsdr1,No,5.00.9078.1006,GrandPrincess,Dell Inc.,OptiPlex 3050,J09YCS2,11/30/2022,Microsoft Windows 10 Enterprise,10.0.18363
APGSTHGMOFF1,AP,aphpsdr1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3050,GQM28M2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APGSTLINENOFF1,AP,aphlin1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7GC9X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
